Область,Рік,Середній бал з фізики
Вінницька область,2019,134.8537142857142857
Вінницька область,2020,136.8239051094890511
Волинська область,2019,140.1204081632653061
Волинська область,2020,140.8969804618117229
Дніпропетровська область,2019,135.3172690763052209
Дніпропетровська область,2020,137.2731411229135053
Донецька область,2019,132.0700344431687715
Донецька область,2020,134.5874263261296660
Житомирська область,2019,130.9651741293532338
Житомирська область,2020,134.2558869701726845
Закарпатська область,2019,130.1735294117647059
Закарпатська область,2020,133.7522123893805310
Запорізька область,2019,133.9887218045112782
Запорізька область,2020,133.5275330396475771
Івано-Франківська область,2019,139.3135435992578850
Івано-Франківська область,2020,139.6232876712328767
Київська область,2019,135.9415501905972046
Київська область,2020,135.8668146503884573
Кіровоградська область,2019,133.7417417417417417
Кіровоградська область,2020,138.3296089385474860
Луганська область,2019,130.2222222222222222
Луганська область,2020,134.9196141479099678
Львівська область,2019,139.7207285342584562
Львівська область,2020,141.5382755842062853
м.Київ,2019,147.4574280681150910
м.Київ,2020,149.3245436105476673
Миколаївська область,2019,132.4849056603773585
Миколаївська область,2020,134.2026143790849673
Одеська область,2019,129.0443037974683544
Одеська область,2020,131.3308550185873606
Полтавська область,2019,134.0420711974110032
Полтавська область,2020,138.4336283185840708
Рівненська область,2019,135.4684129429892142
Рівненська область,2020,140.3507565337001376
Сумська область,2019,135.5945454545454545
Сумська область,2020,139.2422839506172840
Тернопільська область,2019,135.6770538243626062
Тернопільська область,2020,137.1138716356107660
Харківська область,2019,139.6886503067484663
Харківська область,2020,139.2705965909090909
Херсонська область,2019,136.2914046121593291
Херсонська область,2020,140.7037037037037037
Хмельницька область,2019,135.3980891719745223
Хмельницька область,2020,139.1278538812785388
Черкаська область,2019,138.5358565737051793
Черкаська область,2020,137.9287925696594427
Чернівецька область,2019,132.8705357142857143
Чернівецька область,2020,138.4053030303030303
Чернігівська область,2019,136.0648918469217970
Чернігівська область,2020,139.8911222780569514
